<<<<<<< HEAD
10 2
=======
1 1
100 1
123 1
1273 2
164 1
165 1
1883 1
1958 1
196 1
1978 1
1982 1
205 1
210 1
214 1
22 1
28 1
3184 1
324 2
398 1
410 1
43 1
5 4
53 1
6 4
642 2
669 1
8 1
91 1
a 2
algebraic 1
ca581203 1
cacm 1
december 1
international 1
j 1
jb 1
language 1
march 1
perlis 1
pm 1
preliminary 1
report 1
samelsonk 1
2 1
29 1
by 1
ca581202 1
computers 1
digital 1
extraction 1
for 3
i 1
of 4
repeated 1
roots 1
subtractions 1
sugai 1
3 1
30 1
ca581201 1
d 1
department 1
friedman 1
m 1
matrix 1
on 1
program 2
schemes 1
techniques 1
32 1
4 9
and 3
ca581103 1
computer 1
engineering 1
glossary 1
november 1
programming 1
terminology 1
33 1
approximations 2
ca581102 1
g 1
root 1
square 1
two 2
w 1
wadey 1
477 9
ca581101 1
e 1
in 2
inspection 1
muller 1
procedures 2
the 9
use 1
35 1
7 1
ca581003 1
october 1
36 1
ca581002 1
equivalence 6
transformation 1
37 1
9 1
an 3
ca581001 1
conway 1
proposal 1
uncol 1
10 2
39 1
ca580903 1
september 1
1007 1
1046 1
11 1
1131 1
1139 1
1140 1
1149 1
1198 1
1215 2
1223 130
1265 2
1303 1
1323 1
1358 2
1366 1
14 1
1421 1
1460 1
1462 1
1463 1
1467 1
1468 1
1477 2
1491 2
1496 1
1531 1
1535 1
1565 1
1601 1
1602 1
1613 1
1614 1
1626 1
1641 1
1781 2
1787 2
1788 1
1988 1
224 2
249 1
288 1
316 1
3188 1
381 1
404 1
41 1
463 1
464 1
483 2
584 1
600 1
680 1
691 1
763 1
799 1
919 1
990 2
ca580902 1
changing 1
communication 1
machines 1
mock 1
o 1
olsztyn 1
part 1
problem 1
proposed 1
solution 1
steel 1
strong 1
t 1
tritter 1
wegstein 1
with 1
12 1
56 1
ca580901 1
call 1
error 1
estimation 2
f 1
h 1
kutta 1
r 1
reeves 1
runge 1
13 1
57 1
august 1
ca580805 1
02 1
1159 11
ca580804 1
15 1
75 1
94 1
ca580803 1
curve 2
fitting 2
giblin 1
recursive 1
technique 1
03 1
16 1
ca580802 1
jeeves 1
method 1
modification 1
newtons 1
secant 2
04 1
1134 1
17 1
408 1
77 1
83 1
arithmetic 1
ca580801 1
ershov 1
operations 2
p 1
06 1
18 1
adams 1
automatic 2
ca580701 1
coding 1
july 1
s 1
schlesinger 1
simple 1
systems 1
07 1
19 1
ca580603 1
june 1
09 1
20 1
accelerates 1
accelerating 1
applied 1
ca580602 1
convergence 1
converges 1
discussed 1
diverges 1
equation 1
example 1
given 1
if 1
illustrative 1
induces 1
is 3
iteration 1
iterative 1
procedure 1
processes 1
rate 1
to 4
when 1
which 1
21 1
407 1
679 1
ca580601 1
diagrams 1
flow 1
formulation 1
voorhees 1
applications 1
ca580506 1
implementation 1
logic 1
may 1
morris 2
unusual 1
wohr 1
23 1
binary 1
ca580505 1
command 1
decimal 1
extract 1
function 1
kautz 1
truth 1
24 1
ca580504 1
check 1
improved 1
l 1
redundancy 1
sisson 1
25 1
ca580503 1
general 1
holt 1
purpose 1
26 1
848 12
bemer 1
ca580502 1
calculating 1
logarithms 1
subroutine 1
27 1
b 1
bessel 1
bounds 1
ca580501 1
empirical 1
functions 1
generating 1
note 1
randels 1
april 1
ca580402 1
corley 1
